id;descripcion;precio_normal;precio_descuento;imagen_url;tallas;categoria
519;Camiseta para niño manga corta;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
520;Camisa para niño manga corta;95990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
521;Tenis bota para niño;175990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
522;Conjunto para niño de camiseta + bermuda;149990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
523;Camiseta tipo polo para niño;79990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
524;Camisa para niño manga corta con corbatin;109990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
525;Camiseta tipo polo para niño;79990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
526;Sudadera para niño con estampado;115990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
527;Camiseta para niño manga corta efecto tie dye;65990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
528;Conjunto para niño de camiseta + sudadera;159990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
529;Camiseta para niño manga corta con bolsillo;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
530;Jogger para niño con cordón;145990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
531;Bermuda para niño con bolsillos cargo;115990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
532;Camisa para niño manga larga con bolsillo;109990.00;NULL;Imagen no disponible;12, 10, 14, 16, 8;Niños
533;Tenis casuales para niño;159990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
534;Tenis para niño tipo bota;155990.00;NULL;Imagen no disponible;, 31, 32, 33, 34, 35;Niños
535;Camiseta blanca para niño manga corta;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
536;Jean super slim para niño;139990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
537;Camisa para niño manga larga con bolsillo;109990.00;NULL;Imagen no disponible;12, 10, 14, 16, 8;Niños
538;Camiseta para niño manga corta con estampado;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
539;Jean para niño slim con bolsillos;139990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
540;Camiseta para niño manga corta;59990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
541;Bermuda para niño;105990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
542;Tenis para niño casuales en sintético mate;155990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
543;Tenis para niño casuales caña media;175990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
544;Tenis para niño casuales mate;159990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
545;Chaqueta para niño tipo bomber;175990.00;NULL;Imagen no disponible;L, M, S;Niños
546;Chaleco para niño enguantado;139990.00;NULL;Imagen no disponible;L, M, S;Niños
547;Tenis para niño casuales en sintético mate;155990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
548;Medias para niño de transformers caña corta;19990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/863529/Medias-para-niño-de-transformers-caña-corta-.jpg?v=638600394640700000;6-8, 8-10, 9-11;Niños
549;Chaqueta para niño tipo bomber;175990.00;NULL;Imagen no disponible;L, M, S;Niños
550;Tenis para niño casuales caña media;169990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
551;Tenis con luces para niño de transformers caña media;179990.00;NULL;Imagen no disponible;25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35;Niños
552;Sandalias para niño;64393.00;91990.00;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
553;Camiseta oversize para niño manga corta;75990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
554;Jean wide leg para niño;139990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
555;Camiseta para niño de transformers manga corta;65990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
556;Buzo de transformers para niño abierto con capucha;169990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
557;Camiseta para niño de transformers manga corta;65990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
558;Tenis para niño casuales;169990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
559;Camiseta oversize para niño manga corta con bolsillo en el frente;75990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
560;Jean super slim para niño;139990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/863580/Jean-super-slim-para-niño.jpg?v=638600394904470000;10, 12, 14, 16, 8;Niños
561;Bermuda para niño con textura;85990.00;NULL;Imagen no disponible;10, 12, 14, 16, 8;Niños
562;Tenis para niño silueta skate;169990.00;NULL;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Niños
