id;descripcion;precio_normal;precio_descuento;imagen_url;tallas;categoria
34;Buzo para niño oversize con estampado en espalda;63594.00;105990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
35;Conjunto para niña de camiseta manga corta + pantalón;95994.00;159990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
36;Sudadera para niña con bolsillos;53994.00;89990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
37;Tenis para niña deportivos;99594.00;165990.00;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Outlet
38;Camiseta para niño tipo polo;47994.00;79990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
39;Camiseta para niño tipo polo con bolsillo;45594.00;75990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
40;Tenis para niño con bloques de color;93594.00;155990.00;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Outlet
41;Bermuda para niño con bolsillo asimétrico;69594.00;115990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
42;Jean super skinny para niña;71994.00;119990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
43;Camiseta para niño manga corta con bolsillo;29994.00;49990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
44;Vestido de baño tankini para bebé niña;75594.00;125990.00;https://offcorss.vtexassets.com/arquivos/ids/848975/42022181-Naranja-16-1462_1.jpg?v=638497574288070000;12M, 18M, 24M, 6-9M;Outlet
45;Vestido de baño entero manga sisa para bebé niña;63594.00;105990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
46;Camiseta de baño manga larga para bebé niño;59994.00;99990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
47;Pantaloneta de baño para bebé niño;57594.00;95990.00;https://offcorss.vtexassets.com/arquivos/ids/830676/41058561-Azul-19-3921_1.jpg?v=638423226806670000;12M, 18M, 24M, 6-9M;Outlet
48;Pantaloneta de baño para bebé niño;57594.00;95990.00;https://offcorss.vtexassets.com/arquivos/ids/830639/41058551-Azul-18-3949_1.jpg?v=638423226576830000;12M, 18M, 24M, 6-9M;Outlet
49;Pantaloneta de baño para bebé niño;57594.00;95990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
50;Camiseta de baño manga larga para bebé niño;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/830794/41337021-Azul-18-3949_1.jpg?v=638423227681170000;12M, 18M, 24M, 6-9M;Outlet
51;Camiseta de baño manga larga para bebé niño;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/830713/41337001-Azul-19-3921_1.jpg?v=638423227057530000;12M, 18M, 24M, 6-9M;Outlet
52;Vestido de baño bikini doble faz para bebé niña;63594.00;105990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
53;Vestido de baño entero para bebé niña;75594.00;125990.00;https://offcorss.vtexassets.com/arquivos/ids/848993/42022191-Violeta-14-3812_1.jpg?v=638497574368770000;12M, 18M, 24M, 6-9M;Outlet
54;Vestido de baño entero manga sisa para bebé niña;59994.00;99990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
55;Vestido de baño entero manga sisa para bebé niña;63594.00;105990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
56;Bermuda para niño;39594.00;65990.00;https://offcorss.vtexassets.com/arquivos/ids/858493/41058241-Verde-19-5220_1.jpg?v=638551069286830000;2T, 3T, 4T, 5T, 6;Outlet
57;Pantalón de sudadera para niño;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/858528/41264491-Rojo-18-1660_1.jpg?v=638551771659800000;2T, 3T, 4T, 5T, 6;Outlet
58;Pantaloneta de baño para niño;47994.00;79990.00;https://offcorss.vtexassets.com/arquivos/ids/854314/41020041-Azul-19-4024_1.jpg?v=638532208637300000;2T, 3T, 4T, 5T, 6;Outlet
59;Body manga corta para bebé niño;22194.00;36990.00;https://offcorss.vtexassets.com/arquivos/ids/854228/33113521-Amarillo-12-0824_1.jpg?v=638527858391870000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
60;Camisa manga corta con boleros para niña;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/854240/42045711-Gris-11-0601_1.jpg?v=638527858442170000;2T, 3T, 4T, 5T, 6;Outlet
61;Falda midi con bolsillo de parche para niña;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/854280/52075801-Gris-13-4108_1.jpg?v=638527858622100000;10, 12, 14, 16, 8;Outlet
62;Camiseta de pijama para niño;27594.00;45990.00;https://offcorss.vtexassets.com/arquivos/ids/863485/41337043-Verde-12-6205_5.jpg?v=638600295704430000;2T, 3T, 4T, 5T, 6;Outlet
63;Pantalón largo de pijama para niña;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/858551/52270731-Rosado-14-2710_1.jpg?v=638551798689300000;10, 12, 14, 16, 8;Outlet
64;Denim silueta super skinny para niña;63594.00;105990.00;https://offcorss.vtexassets.com/arquivos/ids/854327/42361082-Indigo-Medio_1.jpg?v=638532288080870000;2T, 3T, 4T, 5T;Outlet
65;Pantalón con cargaderas para bebé niño;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/860509/31067541-Cafe-16-1336_1.jpg?v=638563009674430000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
66;Pantalón con prenses para niña;81594.00;135990.00;https://offcorss.vtexassets.com/arquivos/ids/854331/52270602-Violeta-13-3820_1.jpg?v=638532290334800000;10, 12, 14, 16, 8;Outlet
67;Pantalón silueta ancha para niña;77994.00;129990.00;https://offcorss.vtexassets.com/arquivos/ids/854300/52270562-Cafe-12-0601_1.jpg?v=638527858698630000;10, 12, 14, 16, 8;Outlet
68;Vestido tipo camisa manga larga para niña;69594.00;115990.00;https://offcorss.vtexassets.com/arquivos/ids/854270/52018271-Blanco-10-0000_1.jpg?v=638527858584330000;10, 12, 14, 16, 8;Outlet
69;Buzo cerrado de personaje para bebé niño;50940.00;84900.00;https://offcorss.vtexassets.com/arquivos/ids/860581/31134181-Beige-12-0804_1.jpg?v=638563010070100000;12M, 18M, 24M, 3-6M, 6-9M;Outlet
70;Denim silueta super skinny para niña;63594.00;105990.00;https://offcorss.vtexassets.com/arquivos/ids/854329/42361081-Indigo-Claro_1.jpg?v=638532289032100000;2T, 3T, 4T, 5T;Outlet
71;Pantaloneta de baño para niño;47994.00;79990.00;https://offcorss.vtexassets.com/arquivos/ids/854312/41020043-Verde-13-5313_1.jpg?v=638532207337330000;2T, 3T, 4T, 5T, 6;Outlet
72;Buzo estampado cerrado para bebé niña;29994.00;49990.00;https://offcorss.vtexassets.com/arquivos/ids/858473/32134421-Rosado-12-1305_1.jpg?v=638550982682970000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
73;Falda-short con boleros para niña;26396.00;65990.00;https://offcorss.vtexassets.com/arquivos/ids/854250/42074112-Amarillo-15-1046_1.jpg?v=638527858498530000;24, 2T, 3T, 4T, 5T;Outlet
74;Enterizo corto para niña;47995.00;95990.00;https://offcorss.vtexassets.com/arquivos/ids/854290/52210361-Amarillo-15-1046_1.jpg?v=638527858660800000;10, 12, 14, 16, 8;Outlet
75;Body manga larga con hombro cruzado para bebé niña;22194.00;36990.00;https://offcorss.vtexassets.com/arquivos/ids/863478/32117882-Rosado-14-1907_2.jpg?v=638600256474630000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
76;Camisa manga larga con bolero para niña;57594.00;95990.00;https://offcorss.vtexassets.com/arquivos/ids/854321/42045251-Amarillo-15-1046_1.jpg?v=638532214281630000;24, 2T, 3T, 4T, 5T;Outlet
77;Camiseta para niña manga corta;23994.00;39990.00;https://offcorss.vtexassets.com/arquivos/ids/854072/42241667-Gris-11-0601_1.jpg?v=638527857741370000;24, 2T, 3T, 4T, 5T;Outlet
78;Leggings para niña;27594.00;45990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
79;Overall para bebé niña;47994.00;79990.00;https://offcorss.vtexassets.com/arquivos/ids/849876/32081185-Gris-11-0601_1.jpg?v=638500903127600000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
80;Pantalón para niño;63594.00;105990.00;https://offcorss.vtexassets.com/arquivos/ids/784400/41264392-Cafe-17-1052_1.jpg?v=638160830255330000;2T, 3T, 4T, 5T, 6;Outlet
81;Falda short para niña;47994.00;79990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6, 2T, 3T, 4T, 5T, 6;Outlet
82;Camiseta para niña con frente cruzado;33594.00;55990.00;https://offcorss.vtexassets.com/arquivos/ids/817268/52344071-Negro-19-4008_1.jpg?v=638336837851930000;10, 12, 14, 16, 8;Outlet
83;Jean slouchy para niña;69594.00;115990.00;https://offcorss.vtexassets.com/arquivos/ids/854172/42361152-Indigo-Claro_1.jpg?v=638527858165800000;2T, 3T, 4T, 5T, 6;Outlet
84;Camisa con boleros para niña;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/827127/42045582-Violeta-13-3820_1.jpg?v=638385314580330000;2T, 3T, 4T, 5T, 6, 2T, 3T, 4T, 5T, 6;Outlet
85;Camiseta para niño manga larga;35994.00;59990.00;https://offcorss.vtexassets.com/arquivos/ids/849602/41334801-Gris-Jaspe_1.jpg?v=638497577783300000;24, 2T, 3T, 4T, 5T;Outlet
86;Vestido de baño entero para niña;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/853969/42021732-Rosado-15-1626_1.jpg?v=638527857200300000;2T, 3T, 4T, 5T, 6;Outlet
87;Vestido para niña con abertura en hombro;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/850271/52018901-Cafe-12-0601_1.jpg?v=638500905577470000;10, 12, 14, 16, 8;Outlet
88;Vestido de baño entero para niña;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/853967/42021733-Blanco-10-0000_1.jpg?v=638527857188900000;2T, 3T, 4T, 5T, 6;Outlet
89;Pantaloneta de baño para niño;47994.00;79990.00;https://offcorss.vtexassets.com/arquivos/ids/853842/41020042-Azul-14-4214_1.jpg?v=638527856539470000;2T, 3T, 4T, 5T, 6;Outlet
90;Pijama para niña camiseta manga larga + pantalón;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/850341/52093992-Azul-16-4013_1.jpg?v=638500905921400000;10, 12, 14, 16, 8;Outlet
91;Pantalón sudadera para niña;51594.00;85990.00;https://offcorss.vtexassets.com/arquivos/ids/854152/42264072-Violeta-14-3206_1.jpg?v=638527858084630000;2T, 3T, 4T, 5T, 6;Outlet
92;Vestido de baño entero para niña;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/850321/52023282-Rosado-15-1626_1.jpg?v=638500905820700000;10, 12, 14, 16, 8;Outlet
93;Body tipo kimon para bebé niño unisex manga larga;25794.00;42990.00;https://offcorss.vtexassets.com/arquivos/ids/850158/33113232-Blanco-11-4202_1.jpg?v=638500904889830000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
94;Leggings para niña;30594.00;50990.00;https://offcorss.vtexassets.com/arquivos/ids/854132/42263541-Rosado-11-1408_1.jpg?v=638527858007800000;2T, 3T, 4T, 5T, 6;Outlet
95;Body para bebé niño manga corta;23994.00;39990.00;https://offcorss.vtexassets.com/arquivos/ids/850136/33113192-Gris-Jaspe_1.jpg?v=638500904784500000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
96;Jean super skinny para niña;65994.00;109990.00;https://offcorss.vtexassets.com/arquivos/ids/854182/42361271-Indigo-Claro_1.jpg?v=638527858208230000;2T, 3T, 4T, 5T, 6;Outlet
97;Body kimono manga larga para bebé niña;23994.00;39990.00;https://offcorss.vtexassets.com/arquivos/ids/849900/32118141-Rosado-11-1408_1.jpg?v=638500903239130000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
98;Vestido de baño entero para niña;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/853971/42021731-Amarillo-12-0740_1.jpg?v=638527857209030000;2T, 3T, 4T, 5T, 6;Outlet
99;Vestido para niña con abertura en hombro;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/850281/52018911-Cafe-15-1216_1.jpg?v=638500905627330000;10, 12, 14, 16, 8;Outlet
100;Chaqueta beisbolera para niño;89994.00;149990.00;https://offcorss.vtexassets.com/arquivos/ids/850231/51532241-Negro-19-4008_1.jpg?v=638500905325530000;10, 12, 14, 16, 8;Outlet
101;Vestido midi para niña manga sisa;65994.00;109990.00;https://offcorss.vtexassets.com/arquivos/ids/850251/52018713-Rosado-15-1611_1.jpg?v=638500905441330000;10, 12, 14, 16, 8;Outlet
102;Camisa leñadora para niño manga larga;77394.00;128990.00;https://offcorss.vtexassets.com/arquivos/ids/850176/51049011-Gris-11-0601_1.jpg?v=638500904972700000;10, 12, 14, 16, 8;Outlet
103;Jean slouchy para niña;69594.00;115990.00;https://offcorss.vtexassets.com/arquivos/ids/806959/42361152-Indigo-Medio_1.jpg?v=638284889036400000;2T, 3T, 4T, 5T, 6;Outlet
104;Vestido para niña con cargaderas para anudar;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/850241/52018592-Naranja-15-1239_1.jpg?v=638500905385670000;10, 12, 14, 16, 8;Outlet
105;Conjunto para bebé niña de body + vestido;71994.00;119990.00;https://offcorss.vtexassets.com/arquivos/ids/850038/32125231-Rosado-12-1305_1.jpg?v=638500904306730000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
106;Camisa leñadora para niño manga larga;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/853852/41047721-Gris-11-0601_1.jpg?v=638527856600870000;2T, 3T, 4T, 5T, 6;Outlet
107;Pantalón sudadera para niña;51594.00;85990.00;https://offcorss.vtexassets.com/arquivos/ids/854154/42264071-Coral-14-1228_1.jpg?v=638527858092500000;2T, 3T, 4T, 5T, 6;Outlet
108;Camiseta oversize para niña;29994.00;49990.00;https://offcorss.vtexassets.com/arquivos/ids/807256/52344862-Rosado-15-1611_1.jpg?v=638284890301770000;10, 12, 14, 16, 8;Outlet
109;Set x 2 bodies para bebé niño;41994.00;69990.00;https://offcorss.vtexassets.com/arquivos/ids/849828/31201582-Blanco-10-0000_1.jpg?v=638500902869500000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
110;Conjunto para bebé niña de body + leggings;41994.00;69990.00;https://offcorss.vtexassets.com/arquivos/ids/850014/32125162-Rosado-13-2005_1.jpg?v=638500904174300000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
111;Camiseta para niña con frente cruzado;33594.00;55990.00;https://offcorss.vtexassets.com/arquivos/ids/850413/52344071-Rosado-16-1440_1.jpg?v=638500906323800000;10, 12, 14, 16, 8;Outlet
112;Body manga corta para bebé niña;23994.00;39990.00;https://offcorss.vtexassets.com/arquivos/ids/849920/32118152-Gris-14-4103_1.jpg?v=638500903371030000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
113;Camisa con boleros para niña;45594.00;75990.00;https://offcorss.vtexassets.com/arquivos/ids/853997/42045502-Rosado-11-1408_1.jpg?v=638527857331030000;2T, 3T, 4T, 5T, 6;Outlet
114;Camiseta para niña manga corta;23994.00;39990.00;https://offcorss.vtexassets.com/arquivos/ids/787897/42241667-Violeta-14-3812_1.jpg?v=638131914502570000;2T, 3T, 4T, 5T;Outlet
115;Camiseta para niña manga corta;35994.00;59990.00;https://offcorss.vtexassets.com/arquivos/ids/854082/42241911-Azul-19-3923_1.jpg?v=638527857779800000;2T, 3T, 4T, 5T, 6;Outlet
116;Camiseta para niña manga corta;31794.00;52990.00;https://offcorss.vtexassets.com/arquivos/ids/854092/42243032-Rosado-11-1408_1.jpg?v=638527857827170000;2T, 3T, 4T, 5T, 6;Outlet
117;Jean super skinny para niña;71994.00;119990.00;https://offcorss.vtexassets.com/arquivos/ids/850447/52361292-Indigo-Medio_1.jpg?v=638500906516170000;10, 12, 14, 16, 6, 8;Outlet
118;Set x 2 bodies para bebé niño;41994.00;69990.00;https://offcorss.vtexassets.com/arquivos/ids/849832/31201581-Gris-11-0601_1.jpg?v=638500902890670000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
119;Conjunto para bebé niña de body + vestido;71994.00;119990.00;https://offcorss.vtexassets.com/arquivos/ids/850062/32125251-Cafe-12-0601_1.jpg?v=638500904414500000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
120;Conjunto body + bermuda para recién nacido niño;57594.00;95990.00;https://offcorss.vtexassets.com/arquivos/ids/849738/31125341-Amarillo-13-0942_1.jpg?v=638500902400030000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
121;Vestido para niña manga larga;119990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
122;Conjunto para niña de camiseta + leggins + pañoleta;110990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
123;Camiseta para niña con detalle en el frente;45990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
124;Sandalias para niña con correas;135990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
125;Camiseta para niña manga corta con boleros;55990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
126;Tenis casuales para niña con  correas de velcro;139990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
127;Overol para niña;129990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
128;Pantalón en denim para niña silueta ballon;125990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
129;Camiseta para niña con estampado manga corta;59990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
130;Chaqueta para niña tipo biker;199990.00;NULL;Imagen no disponible;L, M, S, XS, XXS;Bebés
131;Tutú para niña midi;85990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
132;Camisa para niña manga corta con abertura en espalda;85990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
133;Jean para niña super skinny con diseño de nubes;119990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
134;Vestido corto para niña con espalda cruzada;89990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
135;Media pantalón para niña;49990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/866690/Media-pantalon-para-niña.jpg?v=638615955622130000;2T-3T, 4T-5T, 6-8;Bebés
136;Tenis deportivos para niña con cordones que alumbran en la oscuridad;155990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
137;Vestido de tiras para niña;89990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
138;Camiseta crop top para niña;55990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
139;Conjunto para niña de camiseta + falda short;125990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
140;Pantalón para niña con prenses;109990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
141;Tutú para niña;79990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
142;Botas para niña metalizadas con correa;175990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
143;Jean para niña recto con botas dobladas;125990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
144;Camiseta crop top para niña;55990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
145;Vestido para niña manga corta con bolero;109990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
146;Tenis casuales para niña metalizados con luces;165990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
147;Camisa para niña manga sisa;85990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
148;Short para niña con prenses;89990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
149;Tenis deportivos para niña;149990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
150;Vestido para niña con boleros y abertura en la espalda;109990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
151;Body para niña con mini boleros;74990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
152;Camiseta para niña con estampado manga corta;59990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
153;Chaqueta para niña acolchada;159990.00;NULL;Imagen no disponible;L, M, S;Bebés
154;Chaqueta con personaje de unicornio para niña;149990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
155;Chaqueta para niña acolchada;159990.00;NULL;Imagen no disponible;L, M, S;Bebés
156;Botas para niña con elásticos en laterales;165990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
157;Chaleco para niña oversize;139990.00;NULL;Imagen no disponible;XS, XXS;Bebés
158;Tenis para niña con correas de velcro;149990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
159;Disfraz de bailarina para niña;149990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6, 8;Bebés
160;Tenis para niña con glitter;159990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
161;Sudadera para niña;89990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/861768/42264361-Rosado-12-1305_1.jpg?v=638584693166970000;2T, 3T, 4T, 5T, 6;Bebés
162;Camisa para niña manga corta con boleros;79990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/863414/42045801-Amarillo-11-0604_1.jpg?v=638592413021730000;2T, 3T, 4T, 5T, 6;Bebés
163;Botas plásticas para niña;102193.00;145990.00;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33;Bebés
164;Camiseta para niña mangas con abertura y nudo;39193.00;55990.00;https://offcorss.vtexassets.com/arquivos/ids/870049/42244091-Lila-13-3405_1.jpg?v=638623614650930000;2T, 3T, 4T, 5T, 6;Bebés
165;Tenis para niña con luces en la suela;179990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
166;Overall corto para niña;88193.00;125990.00;https://offcorss.vtexassets.com/arquivos/ids/863535/Overall-corto-para-bebe-niña.jpg?v=638600394670000000;2T, 3T, 4T, 5T, 6;Bebés
167;Botas plásticas para niña;145990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33;Bebés
168;Conjunto para niña de camiseta + jardinera;95193.00;135990.00;https://offcorss.vtexassets.com/arquivos/ids/863720/Conjunto-para-bebe-niña-de-camiseta---jardinera.jpg?v=638600395569270000;2T, 3T, 4T, 5T, 6;Bebés
169;Camisa manga sisa para niña;29990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/857354/42243751-Rosado-11-2409_1.jpg?v=638544994810670000;L, M, S;Bebés
170;Falda short para niña;89990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/857349/42074432-Rosado-12-1305_1.jpg?v=638544958774400000;2T, 3T, 4T, 6, 8, 5T;Bebés
171;Camiseta para niña manga corta con boleros;59990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
172;Camiseta para niña manga corta con estampado;49990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/858518/42243901-Rosado-12-1305_1.jpg?v=638551163750700000;2T, 3T, 4T, 5T, 6;Bebés
173;Set x 2 pantys tipo boxer para niña;54990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/857664/42201471-Rosado-14-3209_1.jpg?v=638545061436400000;L, M, S;Bebés
174;Medias para niña caña larga con personaje;19990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/855636/42193502-Cafe-13-0905_1.jpg?v=638540324358300000;2T-3T, 4T-5T;Bebés
175;Vestido para niña manga sisa con mini boleros;89990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
176;Medias para niña caña larga con personaje;19990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/855634/42193501-Rosado-12-1305_1.jpg?v=638540324270700000;2T-3T, 4T-5T;Bebés
177;Short para niña con bolsillo;85990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/861182/42054311-Rosado-15-1919_1.jpg?v=638575986428070000;2T, 3T, 4T, 5T, 6;Bebés
178;Camiseta para niña manga corta con corte inferior;49990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
179;Tenis para niña deportivos;149990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
180;Chaqueta beisbolera para niña con gráfico en la espalda;145990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
181;Tenis para niña cambian con la luz del sol;159990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
182;Camiseta para niña manga corta con corte inferior;49990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
183;Medias para niña caña larga con personaje;19990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/855640/42193503-Blanco-10-0000_1.jpg?v=638540324480400000;2T-3T, 4T-5T;Bebés
184;Leggings para niña;45990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/858522/42264291-Verde-12-0109_1.jpg?v=638551207719900000;2T, 3T, 4T, 5T, 6;Bebés
185;Leggings para niña;45990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/858524/42264292-Arena-12-0602_1.jpg?v=638551213240170000;2T, 3T, 4T, 5T, 6;Bebés
186;Vestido para niña manga sisa con mini boleros;89990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
187;Camiseta para niña con estampado divertido en el frente;40593.00;57990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
188;Conjunto para niña de camiseta + short;129990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
189;Camiseta para niña manga corta con estampado;49990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/858520/42243902-Blanco-10-0000_1.jpg?v=638551204845870000;2T, 3T, 4T, 5T, 6;Bebés
190;Camiseta para niña con estampado divertido en el frente;57990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
191;Short para niña con bolsillo;85990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/861202/42054312-Verde-13-0111_1.jpg?v=638575986524030000;2T, 3T, 4T, 5T, 6;Bebés
192;Conjunto para niña de camiseta + short;129990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
193;Tenis para niña;149990.00;NULL;https://offcorss.vtexassets.com/arquivos/ids/855509/42107141-Amarillo-11-0602_1.jpg?v=638540318231270000;22, 23, 24, 25, 26, 27, 28, 29;Bebés
194;Vestido para niña manga corta con cuello tipo polo;89990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
195;Chaqueta para niña con bolsillos asimétricos;135990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
196;Conjunto para niña de camiseta + jardinera;135990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
197;Camiseta para niña manga corta con boleros;59990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
198;Buzo para niña cerrado con capucha y bolsillo asimétrico;105990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
199;Jean para niña silueta wide leg;125990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
