Categoría,Página,Posición,Descripción,Precio Normal,Precio Descuento,Imagen URL,Tallas
Recién Nacidos,2,1,Zapatos primeros pasos para bebé niño,95990.0,,https://offcorss.vtexassets.com/arquivos/ids/860263/31103851-Verde-16-0220_1.jpg?v=638563008508800000,"17, 18, 19, 20, 21"
Recién Nacidos,2,2,Camisa para bebé niño manga corta,59990.0,,https://offcorss.vtexassets.com/arquivos/ids/837339/31041881-Blanco-10-0000_1.jpg?v=638448389783000000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,3,Conjunto para bebé niño de camiseta + bermuda,109990.0,,https://offcorss.vtexassets.com/arquivos/ids/860307/31125861-Azul-19-3921_1.jpg?v=638563008694470000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,4,Camiseta polo para bebé niño,49990.0,,https://offcorss.vtexassets.com/arquivos/ids/863600/Camiseta-polo-para-recien-nacido-niño.jpg?v=638600395006900000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,5,Conjunto para bebé niño de overall corto + camiseta,125990.0,,https://offcorss.vtexassets.com/arquivos/ids/860283/31125851-Arena-12-0602_1.jpg?v=638563008599370000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,6,Enterizo corto para bebé niño,85990.0,,https://offcorss.vtexassets.com/arquivos/ids/858618/31210891-Gris-11-0601_1.jpg?v=638557041626970000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,7,Conjunto para bebé niño de camiseta + sudadera,99990.0,,https://offcorss.vtexassets.com/arquivos/ids/858503/31125911-Verde-13-0111_1.jpg?v=638551143512170000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,8,Medias para bebé niño caña corta,29990.0,,https://offcorss.vtexassets.com/arquivos/ids/854710/31201731-Amarillo-11-0604_1.jpg?v=638540286347470000,"0-0M, 12-24M, 3-6M, 6-12M"
Recién Nacidos,2,9,Pantalón para bebé niño,65990.0,,https://offcorss.vtexassets.com/arquivos/ids/854549/31067791-Gris-19-4215_1.jpg?v=638540278339870000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,10,Body para bebé niño tipo polo,49990.0,,https://offcorss.vtexassets.com/arquivos/ids/861128/31119001-Rosado-13-1408_1.jpg?v=638575986163130000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,11,Buzo para bebé niño,75990.0,,https://offcorss.vtexassets.com/arquivos/ids/856880/31134771-Gris-19-3912_1.jpg?v=638542494417370000,"12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,12,Conjunto para bebé niño de camiseta + overall,125990.0,,https://offcorss.vtexassets.com/arquivos/ids/856871/31125841-Naranja-16-1357_1.jpg?v=638542494365930000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,13,Body para bebé niño tipo polo,55990.0,,https://offcorss.vtexassets.com/arquivos/ids/854578/31118921-Naranja-16-1357_1.jpg?v=638540280035000000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,14,Conjunto para bebé niño de camiseta + buzo + sudadera,147990.0,,https://offcorss.vtexassets.com/arquivos/ids/856813/31125811-Azul-14-4317_1.jpg?v=638542352993200000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,15,Camiseta manga corta para bebé niño,39990.0,,https://offcorss.vtexassets.com/arquivos/ids/854538/31036571-Amarillo-11-0604_1.jpg?v=638540277365530000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,16,Medias para bebé niño caña corta,29990.0,,https://offcorss.vtexassets.com/arquivos/ids/854927/33201781-Amarillo-11-0604_1.jpg?v=638540295806100000,"0-0M, 12-24M, 3-6M, 6-12M"
Recién Nacidos,2,17,Conjunto para bebé niño de body + bermuda,75990.0,,https://offcorss.vtexassets.com/arquivos/ids/854632/31125832-Gris-Jaspe_1.jpg?v=638540282719700000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,18,Body para bebé niño tipo polo manga corta,55990.0,,https://offcorss.vtexassets.com/arquivos/ids/858497/31118991-Amarillo-11-0604_1.jpg?v=638551137624800000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,19,Conjunto para bebé niño de camiseta polo + pantalón,105990.0,,https://offcorss.vtexassets.com/arquivos/ids/854613/31125821-Cafe-18-1110_1.jpg?v=638540282020630000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,20,Conjunto para bebé niño de body + bermuda,75990.0,,https://offcorss.vtexassets.com/arquivos/ids/854652/31125833-Amarillo-11-0604_1.jpg?v=638540283546300000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,21,Zapatos primeros pasos para bebé niño,99990.0,,https://offcorss.vtexassets.com/arquivos/ids/854563/31103841-Arena-12-0602_1.jpg?v=638540279326670000,"17, 18, 19, 20, 21"
Recién Nacidos,2,22,Camiseta de baño manga larga para bebé niño,105990.0,74193.0,https://offcorss.vtexassets.com/arquivos/ids/848883/41337431-Gris-11-0601_1.jpg?v=638497573806170000,"12M, 18M, 24M, 6-9M"
Recién Nacidos,2,23,Pantaloneta de baño doble faz para bebé niño,109990.0,76993.0,https://offcorss.vtexassets.com/arquivos/ids/848820/41058731-Arena-12-0602_1.jpg?v=638497573508000000,"12M, 18M, 24M, 6-9M"
Recién Nacidos,2,24,Pantaloneta de baño para bebé niño,99990.0,,https://offcorss.vtexassets.com/arquivos/ids/830594/41058541-Azul-14-4311_1.jpg?v=638423226309500000,"12M, 18M, 24M, 6-9M"
Recién Nacidos,3,1,Camiseta de baño manga larga para bebé niño,99990.0,69993.0,https://offcorss.vtexassets.com/arquivos/ids/848919/41337451-Gris-11-0601_1.jpg?v=638497573974500000,"12M, 18M, 24M, 6-9M"
Recién Nacidos,3,2,Pantaloneta de baño para bebé niño,95990.0,67193.0,https://offcorss.vtexassets.com/arquivos/ids/848847/41058761-Cafe-16-1010_1.jpg?v=638497573640270000,"12M, 18M, 24M, 6-9M"
Recién Nacidos,3,3,Camiseta de baño manga larga para bebé niño,105990.0,74193.0,https://offcorss.vtexassets.com/arquivos/ids/848901/41337441-Gris-13-0002_1.jpg?v=638497573897200000,"12M, 18M, 24M, 6-9M"
Recién Nacidos,3,4,Pantaloneta de baño doble faz para bebé niño,109990.0,76993.0,https://offcorss.vtexassets.com/arquivos/ids/848793/41058721-Negro-19-4008_1.jpg?v=638497573385930000,"12M, 18M, 24M, 6-9M"
Recién Nacidos,3,5,Pijama enterizo para bebé niño,89990.0,,https://offcorss.vtexassets.com/arquivos/ids/853471/3109177-Gris-12-4302_1.jpg?v=638520104453230000,"0-0M, 0-3M, 3-6M, 6-9M"
Recién Nacidos,3,6,Babero para bebé niño,19990.0,,https://offcorss.vtexassets.com/arquivos/ids/858185/31141492-Gris-11-0601_1.jpg?v=638550349295200000,"L, M, S"
Recién Nacidos,3,7,Enterizo corto para bebé niño,49990.0,,https://offcorss.vtexassets.com/arquivos/ids/854192/31210901-Azul-15-4312_1.jpg?v=638527858251730000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,3,8,Pijama enterizo para bebé niño,89990.0,,https://offcorss.vtexassets.com/arquivos/ids/852304/31091781-Gris-12-4302_1.jpg?v=638515686425670000,"12M, 18M, 24M"
Recién Nacidos,3,9,Overall largo para bebé niño,119990.0,,https://offcorss.vtexassets.com/arquivos/ids/852264/31082611-Indigo-Oscuro_1.jpg?v=638515686228870000,"12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,3,10,Pijama para bebé niño camiseta manga corta + pantalón,89990.0,,https://offcorss.vtexassets.com/arquivos/ids/852284/31091761-Verde-12-0313_1.jpg?v=638515686334900000,"12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,3,11,Conjunto para bebé niño de camisa + bermuda,139990.0,,https://offcorss.vtexassets.com/arquivos/ids/852319/31125802-Indigo-Oscuro_1.jpg?v=638515686502700000,"12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,3,12,Camisa manga corta para bebé niño,89990.0,62993.0,https://offcorss.vtexassets.com/arquivos/ids/848717/41047982-Arena-12-0602_1.jpg?v=638497564310000000,"12M, 18M, 24M, 6-9M"
Recién Nacidos,3,13,Camisa manga corta para bebé niño,89990.0,62993.0,https://offcorss.vtexassets.com/arquivos/ids/848775/41047991-Gris-11-0601_1.jpg?v=638497573293300000,"12M, 18M, 24M, 6-9M"
Recién Nacidos,3,14,Bermuda para bebé niño,65990.0,,https://offcorss.vtexassets.com/arquivos/ids/840780/31051721-Amarillo-14-1036_1.jpg?v=638460214552530000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,3,15,Camiseta manga corta para bebé niño,36990.0,,https://offcorss.vtexassets.com/arquivos/ids/843041/3103605-Amarillo-11-0907_1.jpg?v=638461255039970000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,3,16,Zapatos primeros pasos para bebé niño,105990.0,,https://offcorss.vtexassets.com/arquivos/ids/841731/31103831-Cafe-12-0601_1.jpg?v=638460439593230000,"17, 18, 20, 21, 19"
Recién Nacidos,3,17,Zapatos primeros pasos para bebé niño,99990.0,,https://offcorss.vtexassets.com/arquivos/ids/839138/31103801-Azul-13-4303_1.jpg?v=638453552752170000,"17, 18, 19, 20, 21"
Recién Nacidos,3,18,Denim carpintero para bebé niño,89990.0,,https://offcorss.vtexassets.com/arquivos/ids/837720/31360321-Indigo-Medio_1.jpg?v=638448391833500000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,3,19,Chaqueta acolchada para bebé niño,159990.0,,https://offcorss.vtexassets.com/arquivos/ids/837603/31134641-Cafe-17-1342_1.jpg?v=638448391180030000,"12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,3,20,Zapatos primero pasos para bebé niño,95990.0,,https://offcorss.vtexassets.com/arquivos/ids/839158/31103811-Cafe-15-1220_1.jpg?v=638453552837930000,"15, 16, 17, 18, 19"
Recién Nacidos,3,21,Pantalón con cargaderas para bebé niño,85990.0,,https://offcorss.vtexassets.com/arquivos/ids/837423/31067672-Gris-17-1500_1.jpg?v=638448390223600000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,3,22,Set x 2 bodies para bebé niño,69990.0,,https://offcorss.vtexassets.com/arquivos/ids/837696/31201691-Amarillo-11-0604_1.jpg?v=638448391707000000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,3,23,Set x 3 bodies para bebé niño,89990.0,,https://offcorss.vtexassets.com/arquivos/ids/840495/31201681-Amarillo-12-0758_1.jpg?v=638455203044000000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,3,24,Set x2 sudaderas con cordón para bebé niño,89990.0,,https://offcorss.vtexassets.com/arquivos/ids/840549/31201711-Azul-19-3921_1.jpg?v=638455203289030000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,1,Camisa manga corta para bebé niño,49990.0,,https://offcorss.vtexassets.com/arquivos/ids/839108/31041861-Gris-11-0601_1.jpg?v=638453552590800000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,2,Body polo para bebé niño,55990.0,,https://offcorss.vtexassets.com/arquivos/ids/837477/31118841-Amarillo-11-0604_1.jpg?v=638448390506970000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,3,Conjunto de buzo cerrado + sudadera para bebé niño,149990.0,,https://offcorss.vtexassets.com/arquivos/ids/837579/31125761-Arena-12-0602_1.jpg?v=638448391045130000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,4,Conjunto camiseta + bermuda para bebé niño,99990.0,,https://offcorss.vtexassets.com/arquivos/ids/839232/31125701-Amarillo-11-0604_1.jpg?v=638453553206600000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,5,Bermuda con cordón para bebé niño,79990.0,,https://offcorss.vtexassets.com/arquivos/ids/837369/31051921-Indigo-Claro_1.jpg?v=638448389920270000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,6,Chaqueta beisbolera para bebé niño,75990.0,,https://offcorss.vtexassets.com/arquivos/ids/837652/31134711-Arena-12-0602_1.jpg?v=638448391474600000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,7,Conjunto de camisa + overall para bebé niño,155990.0,,https://offcorss.vtexassets.com/arquivos/ids/837501/31125661-Azul-19-3921_1.jpg?v=638448390641200000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,8,Medias caña corta para bebé niño,15990.0,,https://offcorss.vtexassets.com/arquivos/ids/843067/31191902-Gris-14-1106_1.jpg?v=638464522917200000,"0-0M, 0-3M, 12-24M, 3-6M, 6-12M"
Recién Nacidos,4,9,Medias caña corta para bebé niño,15990.0,,https://offcorss.vtexassets.com/arquivos/ids/843057/31191901-Azul-13-4404_1.jpg?v=638464522855700000,"0-0M, 0-3M, 12-24M, 3-6M, 6-12M"
Recién Nacidos,4,10,Conjunto de body + overall para bebé niño,119990.0,,https://offcorss.vtexassets.com/arquivos/ids/839256/31125711-Azul-13-4304_1.jpg?v=638453553330400000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,11,Conjunto de body + buzo + sudadera para bebé niño,145990.0,,https://offcorss.vtexassets.com/arquivos/ids/840441/31125751-Verde-16-0220_1.jpg?v=638455202775230000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,12,Set x3 medias caña corta para bebé niño,35990.0,,https://offcorss.vtexassets.com/arquivos/ids/837676/31191912-Arena-12-0602_1.jpg?v=638448391598270000,"0-0M, 0-3M, 12-24M, 3-6M, 6-12M"
Recién Nacidos,4,13,Pantalón con cargaderas para bebé niño,85990.0,,https://offcorss.vtexassets.com/arquivos/ids/837393/31067671-Azul-19-3921_1.jpg?v=638448390054200000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,14,Conjunto camiseta polo + bermuda para bebé niño,99990.0,,https://offcorss.vtexassets.com/arquivos/ids/837525/31125681-Rosado-13-1408_1.jpg?v=638448390753300000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,15,Conjunto de camiseta + bermuda + babitas para bebé niño,75990.0,,https://offcorss.vtexassets.com/arquivos/ids/837549/31125721-Amarillo-11-0604_1.jpg?v=638448390885570000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,16,Conjunto camisa manga corta + bermuda para bebé niño,115990.0,,https://offcorss.vtexassets.com/arquivos/ids/839208/31125691-Arena-12-0602_1.jpg?v=638453553091030000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,17,Camiseta tipo polo para bebé niño,49990.0,,https://offcorss.vtexassets.com/arquivos/ids/837291/31036421-Amarillo-12-0824_1.jpg?v=638448389524170000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,18,Set x2 Bodies manga sisa para bebé niño,65990.0,,https://offcorss.vtexassets.com/arquivos/ids/840525/31201701-Verde-13-0111_1.jpg?v=638455203188470000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,19,Tenis primeros pasos para bebé niño,105990.0,,https://offcorss.vtexassets.com/arquivos/ids/831732/31103781-Cafe-12-0601_1.jpg?v=638424159846100000,"17, 18, 19, 20, 21"
Recién Nacidos,4,20,Sandalias primeros pasos para bebé niño,89990.0,,https://offcorss.vtexassets.com/arquivos/ids/832490/31103791-Cafe-12-0601_1.jpg?v=638424164645070000,"17, 18, 19, 20, 21"
Recién Nacidos,4,21,Buzo cerrado con capucha para bebé niño,89990.0,,https://offcorss.vtexassets.com/arquivos/ids/832633/31134681-Azul-13-4308_1.jpg?v=638424187923200000,"12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,22,Set x 2 baberos para bebé niño,37990.0,,https://offcorss.vtexassets.com/arquivos/ids/828375/31201661-Azul-13-4200_1.jpg?v=638410227619300000,"L, M, S"
Recién Nacidos,4,23,Conjunto body camisa + corbatín + bermuda con cargaderas para bebé niño,135990.0,,https://offcorss.vtexassets.com/arquivos/ids/808894/31125501-Gris-14-1106_1.jpg?v=638315091447300000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,4,24,Set del primer día para bebé niño,149990.0,,https://offcorss.vtexassets.com/arquivos/ids/781084/31125011-Blanco-10-0000_1.jpg?v=638080110754030000,"0-0M, 0-3M, 3-6M"
Recién Nacidos,5,1,Medias para bebé niño,12990.0,,https://offcorss.vtexassets.com/arquivos/ids/786490/31191871-Azul-14-4504_1.jpg?v=638126676263230000,"0-3M, 12-24M, 3-6M, 6-9M, 9-12M"
Niñas,1,1,Camiseta manga sisa para niña,45990.0,27594.0,https://offcorss.vtexassets.com/arquivos/ids/758089/5234385-Blanco-10-0000.jpg?v=637959293217800000,", , , , "
Niñas,1,2,Short para niña con prenses,99990.0,,https://offcorss.vtexassets.com/arquivos/ids/866896/Short-para-niña-con-prenses.jpg?v=638615957050570000,"10, 12, 14, 16, 8"
Niñas,1,3,Jean para niña skinny con detalles en glitter,145990.0,,https://offcorss.vtexassets.com/arquivos/ids/867351/Jean-para-niña-skinny-con-detalles-en-glitter.jpg?v=638615959343370000,"10, 12, 14, 16, 8"
Niñas,1,4,Tenis casuales para niña metalizados con luces,165990.0,,https://offcorss.vtexassets.com/arquivos/ids/866472/Tenis-casuales-para-niña-metalizados-con-luces.jpg?v=638615954140830000,"30, 31, 32, 33, 34, 35, 36"
